system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007950629,1187938983972508,-0.173,0.191,-0.474
1680007950637,1187938986474667,-0.18,0.147,-0.407
1680007950639,1187938988977051,-0.146,0.171,-0.299
1680007950639,1187938991479205,-0.235,0.182,-0.355
1680007950639,1187938993981128,-0.182,0.171,-0.265
1680007950641,1187938996483282,-0.134,0.126,-0.278
1680007950643,1187938998985417,-0.318,0.109,-0.251
1680007950648,1187939001487571,-0.189,0.051,-0.238
1680007950650,1187939003989955,-0.332,0.211,-0.264
1680007950651,1187939006492109,-0.272,0.166,-0.264
1680007950655,1187939008994277,-0.32,0.135,-0.235
1680007950657,1187939011496200,-0.345,0.148,-0.306
1680007950659,1187939013998585,-0.392,0.184,-0.317
1680007950662,1187939016500508,-0.4,0.098,-0.301
1680007950664,1187939019002677,-0.367,0.149,-0.298
1680007950667,1187939021504831,-0.348,0.158,-0.282
1680007950669,1187939024006984,-0.329,0.154,-0.333
1680007950672,1187939026509138,-0.202,0.245,-0.344
1680007950675,1187939029011292,-0.271,0.137,-0.369
1680007950677,1187939031513677,-0.156,0.159,-0.296
1680007950682,1187939034015831,-0.206,0.141,-0.251
1680007950682,1187939036517754,-0.052,0.124,-0.233
1680007950686,1187939039019927,-0.116,0.106,-0.147
1680007950689,1187939041522080,0.063,0.075,-0.183
1680007950690,1187939044024234,0.081,0.14,-0.206
1680007950692,1187939046526388,0.136,0.095,-0.075
1680007950695,1187939049028542,0.261,0.064,-0.083
1680007950698,1187939051530696,0.305,0.115,-0.146
1680007950699,1187939054032850,0.254,0.084,0.008
1680007950702,1187939056535004,0.379,0.081,0.108
1680007950706,1187939059037080,0.423,0.009,0.072
1680007950707,1187939061539215,0.48,0.005,0.173
1680007950709,1187939064041446,0.485,0.063,0.07
1680007950714,1187939066543600,0.554,0.073,0.197
1680007950715,1187939069045754,0.598,0.043,0.339
1680007950718,1187939071547912,0.574,0.012,0.316
1680007950721,1187939074049989,0.618,0.076,0.281
1680007950723,1187939076552142,0.635,0.059,0.422
1680007950725,1187939079054373,0.72,0.015,0.331
1680007950728,1187939081556556,0.706,0.036,0.303
1680007950730,1187939084058633,0.694,0.088,0.294
1680007950732,1187939086560787,0.656,0.017,0.38
1680007950734,1187939089062941,0.674,0.013,0.384
1680007950738,1187939091565095,0.773,0.146,0.443
