system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001707874,1181696228970673,0.34,0.426,0.066
1680001707877,1181696231472822,0.356,0.438,0.012
1680001707880,1181696233974976,0.208,0.272,-0.108
1680001707882,1181696236477130,0.387,0.351,-0.135
1680001707885,1181696238979284,0.32,0.281,0.028
1680001707888,1181696241481408,0.349,0.388,-0.202
1680001707891,1181696243983792,0.298,0.356,-0.035
1680001707892,1181696246485946,0.341,0.272,-0.048
1680001707895,1181696248988100,0.37,0.324,-0.02
1680001707897,1181696251490254,0.331,0.363,-0.047
1680001707900,1181696253992408,0.387,0.292,-0.006
1680001707902,1181696256494331,0.267,0.29,-0.129
1680001707904,1181696258996715,0.337,0.247,-0.047
1680001707908,1181696261498946,0.31,0.219,-0.016
1680001707911,1181696264001095,0.311,0.298,0.065
1680001707912,1181696266503172,0.313,0.16,0.106
1680001707915,1181696269005326,0.26,0.24,0.066
1680001707917,1181696271507480,0.425,0.279,-0.028
1680001707919,1181696274009710,0.373,0.29,0.203
1680001707923,1181696276511864,0.347,0.152,0.081
1680001707925,1181696279014018,0.349,0.326,0.121
1680001707928,1181696281516172,0.365,0.243,0.081
1680001707931,1181696284018341,0.285,0.349,0.095
1680001707932,1181696286520726,0.259,0.265,-0.026
1680001707934,1181696289022879,0.316,0.182,0.055
1680001707936,1181696291525033,0.304,0.411,-0.12
1680001707941,1181696294027206,0.224,0.3,-0.038
1680001707942,1181696296529360,0.175,0.402,0.031
1680001707944,1181696299031514,0.191,0.385,0.004
1680001707946,1181696301533745,0.275,0.397,0.127
1680001707950,1181696304035898,0.222,0.327,0.073
1680001707952,1181696306538037,0.251,0.352,0.115
1680001707954,1181696309040114,0.239,0.404,0.129
1680001707957,1181696311542268,0.296,0.442,0.062
1680001707962,1181696314044499,0.246,0.409,-0.015
1680001707965,1181696316546668,0.166,0.501,0.217
1680001707967,1181696319048822,0.182,0.335,0.232
1680001707968,1181696321550975,0.252,0.414,0.07
1680001707971,1181696324053129,0.241,0.398,0.153
1680001707972,1181696326555283,0.216,0.436,0.169
1680001707974,1181696329057451,0.177,0.473,0.17
1680001707977,1181696331559605,0.183,0.358,0.076
1680001707980,1181696334061989,0.131,0.286,0.01
1680001707982,1181696336564143,0.202,0.296,0.012
1680001707984,1181696339066326,0.096,0.333,0.082
1680001707987,1181696341568480,0.085,0.343,-0.037
1680001707991,1181696344070634,0.101,0.326,0.128
1680001707992,1181696346572788,0.036,0.322,-0.019
1680001707995,1181696349074928,0.217,0.263,-0.027
1680001707998,1181696351577158,0.124,0.368,0.056
1680001708001,1181696354079312,0.086,0.269,0.167
1680001708004,1181696356581466,0.116,0.251,-0.061
1680001708007,1181696359083605,0.092,0.248,0.036
1680001708008,1181696361585759,0.122,0.298,0.066
1680001708011,1181696364087913,0.097,0.281,0.014
1680001708013,1181696366590066,0.103,0.274,0.057
1680001708015,1181696369092451,0.134,0.338,-0.034
1680001708019,1181696371594605,0.191,0.211,0.063
1680001708021,1181696374096759,0.153,0.235,0.011
1680001708023,1181696376598682,0.169,0.299,-0.039
1680001708025,1181696379100836,0.172,0.213,0.086
1680001708027,1181696381603220,0.148,0.346,0.007
1680001708031,1181696384105437,0.18,0.312,0.064
1680001708032,1181696386607514,0.265,0.267,0.067
1680001708036,1181696389109668,0.254,0.222,0.084
1680001708037,1181696391611822,0.244,0.246,0.019
1680001708041,1181696394113985,0.192,0.187,0.023
1680001708042,1181696396616138,0.236,0.129,-0.014
1680001708046,1181696399118369,0.32,0.179,0.165
1680001708047,1181696401620523,0.295,0.217,0.06
1680001708056,1181696404122692,0.284,0.254,0.132
1680001708058,1181696406624846,0.314,0.169,0.053
1680001708058,1181696409127000,0.262,0.233,0.179
1680001708058,1181696411629153,0.292,0.243,0.033
1680001708060,1181696414131538,0.35,0.266,0.037
1680001708061,1181696416633701,0.312,0.275,0.0
1680001708064,1181696419135855,0.276,0.311,0.163
1680001708067,1181696421638009,0.292,0.225,0.153
1680001708070,1181696424140162,0.186,0.167,0.089
1680001708073,1181696426642302,0.203,0.231,0.119
1680001708074,1181696429144456,0.22,0.24,0.041
1680001708077,1181696431646687,0.277,0.1,0.058
1680001708079,1181696434148764,0.131,0.164,0.171
1680001708081,1181696436650918,0.217,0.241,0.236
1680001708085,1181696439153145,0.207,0.114,0.266
1680001708087,1181696441655298,0.224,0.192,0.256
1680001708090,1181696444157375,0.322,0.201,0.327
1680001708091,1181696446659606,0.203,0.17,0.14
1680001708095,1181696449161764,0.261,0.288,0.144
1680001708098,1181696451664149,0.318,0.161,0.229
1680001708101,1181696454166072,0.347,0.201,0.148
1680001708103,1181696456668225,0.268,0.224,0.233
1680001708105,1181696459170388,0.353,0.179,0.182
1680001708107,1181696461672542,0.383,0.134,0.104
1680001708111,1181696464174927,0.427,0.184,0.271
1680001708113,1181696466677081,0.335,0.167,0.165
1680001708115,1181696469179230,0.393,0.231,0.155
1680001708117,1181696471681383,0.406,0.163,0.195
1680001708121,1181696474183537,0.409,0.241,0.103
1680001708123,1181696476685691,0.494,0.21,0.065
1680001708125,1181696479187946,0.402,0.233,0.218
1680001708127,1181696481690100,0.364,0.242,0.153
1680001708130,1181696484192254,0.476,0.32,0.115
1680001708132,1181696486694407,0.466,0.275,0.118
1680001708134,1181696489196561,0.507,0.302,0.172
1680001708137,1181696491698638,0.578,0.366,0.066
1680001708141,1181696494201100,0.541,0.212,0.178
1680001708142,1181696496703254,0.544,0.276,0.112
1680001708149,1181696499205378,0.684,0.258,0.265
1680001708151,1181696501707302,0.673,0.309,0.118
1680001708153,1181696504209455,0.677,0.236,0.162
1680001708153,1181696506711840,0.701,0.28,0.15
1680001708155,1181696509213763,0.745,0.344,0.167
1680001708159,1181696511716125,0.708,0.285,0.156
1680001708160,1181696514218279,0.712,0.24,0.146
1680001708163,1181696516720432,0.743,0.262,0.231
1680001708165,1181696519222586,0.829,0.353,0.152
1680001708167,1181696521724740,0.656,0.348,-0.008
1680001708170,1181696524226927,0.654,0.294,0.117
1680001708174,1181696526729158,0.685,0.317,0.106
